time;sn_hour_avg;sm_hour_avg;sx_hour_avg;dn_hour_avg;dm_hour_avg;dx_hour_avg;ta_hour_avg;pa_hour_avg;
2017-12-03 00:00:00+01;0.23;0.81;1.43;223.00;47.00;113.00;-0.10;997.57;
2017-12-03 01:00:00+01;0.50;1.20;1.80;206.00;41.00;82.00;-0.07;997.57;
2017-12-03 02:00:00+01;0.61;1.48;2.20;238.00;31.00;68.00;-0.05;997.01;
2017-12-03 03:00:00+01;0.40;1.28;2.17;165.00;58.00;117.00;0.04;996.69;
2017-12-03 04:00:00+01;1.13;2.45;3.67;125.00;40.00;72.00;-0.21;996.08;
2017-12-03 05:00:00+01;0.78;1.90;3.08;159.00;45.00;94.00;-0.04;995.62;
2017-12-03 06:00:00+01;0.51;1.76;2.95;138.00;56.00;117.00;-0.05;995.73;
2017-12-03 07:00:00+01;0.65;1.66;2.51;158.00;44.00;92.00;0.00;995.71;
2017-12-03 08:00:00+01;0.81;2.06;3.11;214.00;33.00;71.00;0.17;995.32;
2017-12-03 09:00:00+01;1.00;2.35;3.55;238.00;37.00;63.00;0.20;995.05;
2017-12-03 10:00:00+01;0.61;1.74;3.00;260.00;77.00;81.00;0.35;994.77;
2017-12-03 11:00:00+01;0.84;2.14;3.52;243.00;38.00;71.00;0.38;994.20;
2017-12-03 12:00:00+01;0.89;2.39;3.79;274.00;29.00;69.00;0.38;993.26;
2017-12-03 13:00:00+01;0.75;2.13;3.58;291.00;31.00;72.00;0.43;992.78;
2017-12-03 14:00:00+01;0.75;2.05;3.46;314.00;78.00;61.00;0.37;992.61;
2017-12-03 15:00:00+01;0.72;1.94;3.26;275.00;33.00;68.00;0.15;992.68;
2017-12-03 16:00:00+01;0.46;1.41;2.35;300.00;58.00;76.00;0.03;992.72;
2017-12-03 17:00:00+01;0.46;1.32;2.23;290.00;99.00;69.00;-0.02;992.78;
2017-12-03 18:00:00+01;0.24;0.80;1.42;265.00;286.00;71.00;-0.05;992.86;
2017-12-03 19:00:00+01;0.40;1.06;1.71;216.00;270.00;199.00;-0.24;992.89;
